jobCd,jobNm,jobLrclNm,holland_R,holland_I,holland_A,holland_S,holland_E,holland_C,holland_top3
K000000847,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,2.16,2.98,2.93,3.13,3.85,3.29,ECS
K000000933,행정부고위공무원,경영·사무·금융·보험직,1.48,1.8,1.93,2.5,3.12,2.9,ECS
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,1.7,2.41,3.12,2.98,3.21,2.99,EAC
K000001059,경영 지원 관리자,경영·사무·금융·보험직,1.74,2.66,2.43,3.02,3.56,3.04,ECS
K000001081,정부 행정 관리자,경영·사무·금융·보험직,1.38,2.69,2.8,3.13,3.33,3.22,ECS
K000001210,금융관리자,경영·사무·금융·보험직,1.76,2.74,2.42,3.11,3.65,3.24,ECS
K000007471,보험관리자,경영·사무·금융·보험직,1.49,2.66,2.65,3.38,3.68,3.22,ESC
K000000833,사회복지 관련 관리자,경영·사무·금융·보험직,2.04,2.48,2.48,3.53,3.37,3.13,SEC
K000000838,초·중·고등학교 교장 및 교감,경영·사무·금융·보험직,1.61,2.56,2.57,2.98,2.92,2.94,SCE
K000000910,법률·경찰·소방 및 교도 관리자,경영·사무·금융·보험직,1.96,2.31,2.47,2.91,2.79,3.01,CSE
K000000931,보건 의료 관련 관리자,경영·사무·금융·보험직,2.16,3.01,2.78,3.7,3.47,3.34,SEC
K000000969,문화·예술 관련 관리자,경영·사무·금융·보험직,1.99,2.61,3.6,2.91,3.38,3.18,AEC
K000000990,대학교 총장 및 대학학장,경영·사무·금융·보험직,1.59,2.68,2.95,3.27,3.58,3.22,ESC
K000001032,정보 통신 관련 관리자,경영·사무·금융·보험직,2.39,2.89,2.62,2.66,2.82,3.37,CIE
K000001171,유치원 원장 및 원감,경영·사무·금융·보험직,1.76,2.5,2.58,3.09,3.17,2.89,ESC
K000001190,연구관리자,경영·사무·금융·보험직,2.16,3.32,2.77,2.91,3.41,3.41,ECI
K000000950,음식 서비스 관련 관리자,경영·사무·금융·보험직,2.75,2.68,2.67,3.24,3.68,3.41,ECS
K000000989,환경·청소 및 경비 관련 관리자,경영·사무·금융·보험직,2.28,2.25,2.05,2.59,2.88,2.88,ECS
K000000991,여행·숙박(호텔)관리자,경영·사무·금융·보험직,2.3,2.52,2.9,3.08,3.33,3.31,ECS
K000001028,영업 및 판매 관련 관리자,경영·사무·금융·보험직,1.95,2.47,2.43,3.11,3.25,3.07,ESC
K000001094,운송 관련 관리자,경영·사무·금융·보험직,1.98,2.46,2.52,2.83,3.35,2.97,ECS
K000000895,건설 및 광업 관련 관리자,경영·사무·금융·보험직,3.09,2.89,2.72,2.88,3.35,3.16,ECR
K000001018,전기·가스 및 수도 관련 관리자,경영·사무·금융·보험직,2.84,2.85,2.4,2.61,2.91,3.18,CEI
K000001173,제품 생산 관련 관리자,경영·사무·금융·보험직,3.18,2.92,2.53,2.78,3.05,3.18,RCE
K000000925,정부·공공행정전문가,경영·사무·금융·보험직,2.08,2.78,2.9,3.04,3.3,3.34,CES
K000000875,인적자원전문가,경영·사무·금융·보험직,1.69,2.67,2.63,3.42,3.55,3.14,ESC
