jobCd,jobNm,jobLrclNm,holland_top3,major
K000000847,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,ECS,의학
K000000847,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,ECS,경영학
K000000847,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,ECS,사학
K000000847,기업 대표 및 기업 고위 임원,경영·사무·금융·보험직,ECS,교육학
K000000933,행정부고위공무원,경영·사무·금융·보험직,ECS,행정학
K000000933,행정부고위공무원,경영·사무·금융·보험직,ECS,교육학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,경영학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,심리학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,사회학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,교육학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,연극영화학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,신문방송학
K000000919,마케팅 및 광고·홍보 관리자,경영·사무·금융·보험직,EAC,광고홍보학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,경영학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,경제학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,회계학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,무역학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,행정학
K000001059,경영 지원 관리자,경영·사무·금융·보험직,ECS,교육학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,경영학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,경제학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,회계학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,법학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,행정학
K000001081,정부 행정 관리자,경영·사무·금융·보험직,ECS,교육학
K000001210,금융관리자,경영·사무·금융·보험직,ECS,경영학
K000001210,금융관리자,경영·사무·금융·보험직,ECS,경제학
K000001210,금융관리자,경영·사무·금융·보험직,ECS,금융학
K000001210,금융관리자,경영·사무·금융·보험직,ECS,법학
