ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,HS_SC_NM,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,LCTN_SC_NM,ORG_RDNMA,ORG_TELNO,HMPG_ADRES,FOND_SC_NM,COEDU_SC_NM,FOND_YMD
B10,서울특별시교육청,7010057,가락고등학교,Garak High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 송파구 송이로 42,02-416-4658,http://garak.sen.hs.kr,공립,남여공학,19881223
B10,서울특별시교육청,7011169,가재울고등학교,Gajaeul High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 서대문구 수색로 100-35,02-6351-0500,http://gajaeul.sen.hs.kr,공립,남여공학,20130301
B10,서울특별시교육청,7010117,강동고등학교,Kangdong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 구천면로 572,02-427-0231,http://kangdong.sen.hs.kr,사립,남여공학,19841217
B10,서울특별시교육청,7010118,강서고등학교,Gangseo High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 목동중앙남로 27,02-2642-0725,http://gangseo.sen.hs.kr,사립,남,19831101
B10,서울특별시교육청,7010958,강일고등학교,GANGIL HIGH SCHOOL,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 아리수로98길 40,02-428-6200,http://gang-il.sen.hs.kr,공립,남여공학,20100301
B10,서울특별시교육청,7010058,개포고등학교,Gaepo High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강남구 개포로 402,02-576-3333,http://gaepo.sen.hs.kr,공립,남여공학,19870512
B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,Konkuk University High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 광진구 능동로 120,070-7012-3500,http://konkuk.sen.hs.kr,사립,남여공학,19800131
B10,서울특별시교육청,7010059,경기고등학교,Kyunggi High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강남구 영동대로 643,02-3496-7300,http://kyunggi.sen.hs.kr,공립,남,19001003
B10,서울특별시교육청,7010271,경기기계공업고등학교,Gyeonggi Mechanical Technical High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 노원구 공릉로 264,02-2289-1600,http://ggmt.sen.hs.kr,공립,남여공학,19570215
B10,서울특별시교육청,7010272,경기상업고등학교,Gyeonggi Commercial High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 종로구 자하문로 136,02-737-6490,http://ggc.sen.hs.kr,공립,남여공학,19230206
B10,서울특별시교육청,7010060,경기여자고등학교,Kyunggi Girls’High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강남구 삼성로 29,02-573-6797,http://kgg.sen.hs.kr,공립,여,19080401
B10,서울특별시교육청,7010061,경동고등학교,Kyungdong High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 성북구 보문로29길 49,02-928-2353,http://kyungdong.sen.hs.kr,공립,남,19400416
B10,서울특별시교육청,7010120,경문고등학교,Kyungmoon High School,고등학교,일반고,일반계,,전기,서울특별시,"서울특별시 동작구 동작대로 171,",02-535-1301,http://kyungmoon.sen.hs.kr,사립,남,19800124
B10,서울특별시교육청,7010062,경복고등학교,Kyungbock High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 자하문로28가길 9,02-397-5301,http://kyungbock.sen.hs.kr,공립,남,19210502
B10,서울특별시교육청,7010835,경복비즈니스고등학교,Kyungbok Business High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 강서구 화곡로 379,02-3661-3425,http://kbb.sen.hs.kr,사립,남여공학,19721002
B10,서울특별시교육청,7010122,경복여자고등학교,Kyungbok Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 화곡로63길 40,02-3661-1741,http://kb.sen.hs.kr,사립,여,19931002
B10,서울특별시교육청,7010124,경성고등학교,Gyeongseong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 마포구 성미산로 111,02-3140-1168,http://gyeongseong.sen.hs.kr,사립,남,19671229
B10,서울특별시교육청,7010125,경신고등학교,Kyungshin High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 종로구 혜화로 74,02-762-0393,http://kyungshin.sen.hs.kr,사립,남,18850509
B10,서울특별시교육청,7010563,경인고등학교,Kyeongin High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 구로구 경인로46길 31,02-2618-3043,http://kyeongin.sen.hs.kr,공립,남여공학,20020301
B10,서울특별시교육청,7010698,경일고등학교,Kyungil High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 성동구 성수일로 27,02-463-3520,http://kyungil.sen.hs.kr,공립,남여공학,20040506
B10,서울특별시교육청,7010126,경희고등학교,Kyunghee High School,고등학교,자율고,일반계,,전기,서울특별시,서울특별시 동대문구 경희대로 26,02-966-3782,http://www.kyungheeboy.hs.kr/,사립,남,19591212
B10,서울특별시교육청,7010127,경희여자고등학교,Kyung Hee Girls' High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 동대문구 경희대로 26,02-966-1248,https://kyunghee.sen.hs.kr,사립,여,19600209
B10,서울특별시교육청,7011312,계성고등학교,Gyeseong High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 성북구 길음로 63,02-728-6100,gyeseong.sen.hs.kr,사립,남여공학,19440908
B10,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,Korea University High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 성북구 정릉로 161,02-914-7483,https://koreahi.sen.hs.kr,사립,남,19680311
B10,서울특별시교육청,7011487,고명외식고등학교,Komyung Food Service High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 성북구 북악산로 870,02-928-8366,http://komyung.sen.hs.kr,사립,남여공학,19560221
B10,서울특별시교육청,7010063,고척고등학교,Gocheok High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 구로구 중앙로15길 162,02-2616-9813,http://gocheok.sen.hs.kr,공립,남여공학,19841215
B10,서울특별시교육청,7010064,공항고등학교,Konghang High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강서구 방화대로34길 43,02-2664-6874,http://konghang.sen.hs.kr,공립,남여공학,19821130
B10,서울특별시교육청,7010065,관악고등학교,kwanak high school,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 영등포구 영등포로6길 26,02-2633-5954,http://kwan-ak.sen.hs.kr,공립,남여공학,19550427
B10,서울특별시교육청,7010066,광남고등학교,Gwangnam High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 광진구 아차산로70길 17-16,02-2204-8705,http://gwang-nam.sen.hs.kr,공립,남여공학,19860125
B10,서울특별시교육청,7010131,광문고등학교,Gwangmun High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 강동구 동남로 968,02-427-2870,http://gwangmun.sen.hs.kr,사립,남여공학,19851105
B10,서울특별시교육청,7010132,광성고등학교,Kwangsung High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 마포구 신수로8길 20,02-703-3457,http://kwangsung.sen.hs.kr,사립,남,18940406
B10,서울특별시교육청,7010133,광신고등학교,Kwangshin High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 관악구 광신길 141,02-881-8532,http://kwangshin.sen.hs.kr,사립,남여공학,19870120
B10,서울특별시교육청,7011488,광신방송예술고등학교,KWANGSHIN BROADCASTING ARTS HIGH SCHOOL,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 관악구 광신길 141,02-881-8612,http://ksmedia.sen.hs.kr,사립,남여공학,19051010
B10,서울특별시교육청,7010067,광양고등학교,Gwangyang High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 광진구 자양로3가길 31,02-446-1435,http://gwangyang.sen.hs.kr,공립,남여공학,19861215
B10,서울특별시교육청,7010134,광영고등학교,Kwangyoung High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 남부순환로30길 17,02-2650-2300,http://ky.sen.hs.kr,사립,남,19850201
B10,서울특별시교육청,7010135,광영여자고등학교,Kwang-young Girls’ High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 남부순환로30길 17,02-2697-5553,http://kyg.sen.hs.kr,사립,여,19841217
B10,서울특별시교육청,7011505,광운인공지능고등학교,Kwangwoon Artificial Intelligence High School,고등학교,특성화고,전문계,,전기,서울특별시,서울특별시 노원구 광운로1길 24,02-918-7761,http://kwangwoon.sen.hs.kr,사립,남여공학,19340520
B10,서울특별시교육청,7010068,구로고등학교,Guro High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 구로구 가마산로27길 45,02-851-2065,http://guro.sen.hs.kr,공립,남여공학,19811231
B10,서울특별시교육청,7011111,구암고등학교,Guahm High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 관악구 성현로 57,02-879-9823,https://guahm.sen.hs.kr,공립,남여공학,20120301
B10,서울특별시교육청,7010069,구일고등학교,Guil High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 구로구 구일로 90-51,02-858-2549,http://guil.sen.hs.kr,공립,남여공학,19900120
B10,서울특별시교육청,7010827,구현고등학교,Guhyun High School,고등학교,자율고,일반계,,후기,서울특별시,서울특별시 구로구 경인로53가길 17,02-2628-8916,http://guhyun.sen.hs.kr,공립,남여공학,20080301
B10,서울특별시교육청,1371661,국립국악고등학교,Gugak National High School,고등학교,특목고,일반계,예술계열,전기,서울특별시,서울특별시 강남구 개포로22길 65,02-3460-0500,http://gugak.sen.hs.kr,국립,남여공학,19550401
B10,서울특별시교육청,1371663,국립전통예술고등학교,NATIONAL HIGH SCHOOL OF TRADITIONAL KOREAN ARTS,고등학교,특목고,일반계,예술계열,전기,서울특별시,서울특별시 금천구 시흥대로38길 62,02-896-1094,http://kugak-am.hs.kr,국립,남여공학,19600513
B10,서울특별시교육청,7010071,금옥여자고등학교,Geumok Girls High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 양천구 신정로 213,02-2086-7502,http://geumok.sen.hs.kr,공립,여,19810115
B10,서울특별시교육청,7010072,금천고등학교,Geumcheon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 금천구 시흥대로38길 26,02-896-3181,https://geumcheon.sen.hs.kr,공립,남여공학,19831208
B10,서울특별시교육청,7011319,금호고등학교,GeumhoHighSchool,고등학교,일반고,일반계,,전기,서울특별시,서울특별시 성동구 금호로 118,02-2022-0800,http://geumho.sen.hs.kr,공립,남여공학,20170301
B10,서울특별시교육청,7010136,남강고등학교,Namkang High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 관악구 난곡로34길 80,02-839-1715,http://namkang.sen.hs.kr,사립,남,19721229
B10,서울특별시교육청,7010564,노원고등학교,Nowon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 노원구 노원로 586,02-937-0079,http://nowon.sen.hs.kr,공립,남여공학,19881223
B10,서울특별시교육청,7010589,누원고등학교,Noowon High School,고등학교,일반고,일반계,,후기,서울특별시,서울특별시 도봉구 마들로 849,02-3492-7595,http://noowon.sen.hs.kr,공립,남여공학,20030106
