SD_SCHUL_CODE,SCHUL_NM,subject_count,subjects
1192068,부산해사고등학교,54,* 관제시스템운영|* 기관당직|* 기관보조기기 운전|* 기관장치 정비|* 냉동공조기기정비|* 무선항행장비 운용|* 보일러 운전|* 선박영어 의사소통|* 선박조종|* 선위결정|* 안전운항 통제|* 유체기계 정비|* 일반통신 운용|* 전기공급장치 운용|* 전기장치관리|* 제어감시장치 운용|* 조난통신 운용|* 항해당직|* 해양환경보호|* 화물관리|공통국어1|공통영어1|관세법 개론|군리더십|기관 실무 기초|기관 직무 일반|동아리활동|미술|선박 보조 기계|선박 운용|선박 일반|선박 전기・전자|선화 운송|성공적인 직업생활|수학|스포츠 생활|실용 국어|열기관|영어 독해와 작문|음악|일본어Ⅰ|자율활동|전기·전자 일반|진로활동|체육1|통합과학1|통합사회1|한국사1|항해 기초|항해사 직무|해사 법규|해사 영어|해사 일반|해양경찰학 개론
1192069,인천해사고등학교,49,* 관제시스템운영|* 디젤 주기관 운전|* 보수유지관리|* 보일러 관리|* 비상대응|* 비상상황 대응|* 선박영어 의사소통|* 선박조종|* 선위결정|* 일반보조기기 운전|* 전기공급장치 운용|* 제어감시장치 운용|* 조난통신 운용|* 항해당직|* 항해장비운용|* 해양환경보호|[보강]선박 전기・전자|공통국어1|군리더십|기본수학1|기본영어1|물리학Ⅰ|선박 보조 기계|선박 일반|선박 전기・전자|선화 운송|수학Ⅰ|스포츠 생활|열기관|영어Ⅰ|음악|자율·자치활동|전자 통신 운용|정보|진로활동진로활동|체육1|통합과학1|통합사회1|한국사|한국사1|항해 기초|항해사 직무|해사 법규|해사 영어|해사 일반|해양경찰학 개론|해양의 이해|화법과 작문|화학Ⅰ
1371661,국립국악고등학교,91,가야금|가야금 실기1|가야금2|거문고|거문고 실기1|거문고2|공연 실습|공연실습1|공통국어1|공통수학1|공통영어1|국악 전공실기 가야금1|국악 전공실기 거문고1|국악 전공실기 대금1|국악 전공실기 민요1|국악 전공실기 아쟁1|국악 전공실기 이론1|국악 전공실기 작곡1|국악 전공실기 정가1|국악 전공실기 타악1|국악 전공실기 판소리1|국악 전공실기 피리1|국악 전공실기 해금1|국악이론|국악이론 실기1|국악이론2|국악작곡|국악작곡 실기1|국악작곡2|국악타악|국악타악1|국악타악2|논리학|논술|대금|대금 실기1|대금2|독서|무용 기초 실기|무용 전공 실기|무용과 매체|무용과 몸|무용의 이해|문학|민요|민요 실기1|민요2|발레1|봉사활동 사전교육|생활과 과학|수학Ⅰ|스포츠 문화|시창·청음|시창·청음1|아쟁|아쟁 실기1|아쟁2|안무|여행지리|영어Ⅰ|영어Ⅱ|운동과 건강|음악|음악 감상과 비평|음악 이론|음악사|음악이론1|자율활동|정가|정가 실기1|정가2|중국어|지구과학Ⅰ|진로활동|통합과학1|통합사회|판소리|판소리 실기1|판소리2|피리|피리 실기1|피리2|한국무용1|한국사|한국지리|합주|합창·합주1|해금|해금 실기1|해금2|현대무용1
1371663,국립전통예술고등학교,79,가야금|가야금 병창|가야금 실기1|가야금병창 실기1|거문고|거문고 실기1|공연 실습|공통국어1|공통수학1|공통영어1|과학탐구실험|국악 성악 실습1|국악 전공실기 타악1|국악 합주 실습1|국악이론|국악이론 실기1|국악작곡|국악작곡 실기1|논술|대금|대금 실기1|독서|무용 기초 실기|무용 음악 실습|무용 전공 실기|무용과 매체|무용과 몸|무용의 이해|문학|뮤지컬 실습1|민요|민요 실기1|발레 실기1|사회·문화|생명과학Ⅰ|수학Ⅰ|시창·청음|아쟁|아쟁 실기1|안무|연극|연극 감상과 비평|연극 제작 실습|연극의 이해|연기|연기1|영어Ⅰ|영어Ⅱ|운동과 건강|음악|음악 응용 실습1|음악 이론|음악사|전통 연희 기초1|전통 연희 실습1|전통연희기초|전통연희의이해|정가|정가 실기1|중국어Ⅰ|진로와 직업|체육1|타악연희|타악연희 실기1|타악장단|통합과학1|통합사회1|판소리|판소리 실기1|피리|피리 실기1|한국무용 실기1|한국사|한국지리|합주|합창|해금|해금 실기1|현대무용 실기1
1421116,구미전자공업고등학교,74,* 2D도면작업|* CNC선반 가공 프로그래밍(Machine)|* HMI 프로그램 개발|* PC제어 프로그램 개발|* PLC제어 기본 모듈 프로그램 개발|* 공기압 제어|* 기구 설계|* 동력전달요소설계|* 동력제어반공사|* 로봇 액추에이터 제어 소프트웨어 개발|* 로봇 주제어장치(MCU) 하드웨어 회로 설계|* 로봇기구부보수|* 로봇용 UX UI 개발|* 모터 제어|* 센서 활용 기술|* 시스템소프트웨어 펌웨어 구현|* 전기기기 회로부 조립|* 프로그램 개발|* 하드웨어 회로 설계|PCB설계|PLC 프로그래밍|[보강]* 2D도면작업|[보강]* CNC선반 가공 프로그래밍(Machine)|[보강]* PC제어 프로그램 개발|[보강]* 레이아웃 설계|[보강]* 센서 활용 기술|[보강]* 시스템소프트웨어 펌웨어 구현|[보강]디지털 논리 회로|[보강]로봇컨트롤러|[보강]마이크로 프로세서|[보강]미술 창작|[보강]전기·전자 일반|[보강]전자 회로|[보강]진로활동|공통국어1|공통수학1|공통영어1|기계 기초 공작|디지털 논리 회로|로봇컨트롤러|마이크로 프로세서|물리학Ⅰ|미술 창작|봉사활동|산업용 로봇|성공적인 직업생활|수학Ⅰ|실용 국어|실용 영어|운동과 건강|음악|일본어Ⅰ|자동화 설비|자동화네트워크및센서|자율·자치활동|자율활동|전기 기기|전기 설비|전기 회로|전기·전자 일반|전자 회로|전자부품|전자캐드|진로활동|체육|체육1|통합과학1|통합사회1|통합사회2|프로그래밍|프로그래밍 실무|프로젝트실습|한국사|한국사1
1421117,부산기계공업고등학교,84,* 2D도면작업|* 3D형상모델링작업|* CNC밀링 5축 가공 프로그래밍|* CNC밀링(머시닝센터) 가공 CAM 프로그래밍|* CNC밀링(머시닝센터) 가공 프로그래밍|* CNC밀링(머시닝센터)조작|* CNC선반 가공 CAM 프로그래밍|* CNC선반 가공 프로그래밍|* CNC선반 조작|* CNC선반조작|* CO2용접 가용접작업|* CO2용접 용접부 검사|* CO₂용접 가용접 작업|* CO₂용접 장비 설치|* CO₂용접 재료 준비|* PLC제어 기본 모듈 프로그램 개발|* 가스텅스텐아크용접 파이프용접|* 가스텅스텐아크용접 필릿용접|* 공기압 제어|* 공조제어설비 설치|* 냉동제어설비 설치|* 도면검토|* 동력전달요소설계|* 동력제어반공사|* 로봇 기구 요소 부품 설계|* 로봇 액추에이터 제어 소프트웨어 개발|* 모터 제어|* 배관 재료준비|* 배관작업|* 솔리드와이어 필릿 용접|* 송전운영|* 스마트센서활용설계|* 시스템소프트웨어 펌웨어 구현|* 요소공차검토|* 용접절차사양서 해독|* 전기기기 권선 작업|* 전기전자장치조립|* 정밀측정|* 제어원리 응용|* 조립도면작성|* 조립도면해독|* 체결요소설계|* 탭 · 드릴 · 보링 가공|* 펌웨어 개발|* 편심 · 나사 작업|* 평면 · 총형 가공|* 플럭스코어드와이어 필릿 용접|* 피복아크용접 도면해독|* 피복아크용접 맞대기용접|* 피복아크용접 필릿용접|* 하드웨어 부품 선정|* 하드웨어 제작|* 하드웨어 회로 설계|* 홈 · 테이퍼 작업|[보강]* CNC밀링(머시닝센터) 가공 CAM 프로그래밍|[보강]* 홈 · 테이퍼 작업|[보강]기계 기초 공작|[보강]산업 설비|공통국어1|공통수학1|국어|기계 기초 공작|기본영어1|미술 창작|산업 설비|성공적인 직업생활|수학|스포츠 생활|실용 국어|실용 영어|영어|음악 연주|일본어|자동화 설비|전기·전자 일반|중국어Ⅰ|진로활동|체육|체육1|통합과학1|통합사회|한국사|한국사1|한문
1421118,전북기계공업고등학교,89,* 2D도면작업|* 3D형상모델링작업|* 3차원측정|* CNC밀링(머시닝센터) 가공 CAM 프로그래밍|* CNC밀링(머시닝센터) 가공 프로그래밍|* CNC밀링(머시닝센터)조작|* CNC선반 가공 프로그래밍|* CNC선반조작|* PLC제어 기본 모듈 프로그램 개발|* PLC제어 특수 모듈 프로그램 개발|* 경도시험|* 공기압 장치조립|* 공기압 제어|* 공압요소설계|* 기계부품조립|* 기본 작업(밀링가공)|* 기본 작업(선반가공)|* 기하공차 해석|* 내선공사계획|* 도면검토|* 동력설비공사|* 동력전달요소설계|* 로봇시스템 안전교육|* 모터 제어|* 배관배선공사|* 비교측정|* 사출금형 2D도면작성|* 시스템소프트웨어 장치드라이버 개발|* 시스템소프트웨어 펌웨어 설계|* 엔지니어링모델링|* 요소부품재질선정|* 유압 장치조립|* 인장시험|* 작업지능 소프트웨어 개발|* 전기전자장치조립|* 정밀측정|* 제품 회로설계|* 제품출력|* 조립도면작성|* 조립부품준비|* 지속적개선활동|* 체결요소설계|* 측정 도면해독|* 측정기 유지관리|* 탭 · 드릴 · 보링 가공|* 편심 · 나사 작업|* 프로그래밍 언어 활용|* 피복아크용접 맞대기용접|* 피복아크용접 비드쌓기|* 하드웨어 기능별 설계|* 하드웨어 부품 선정|* 현장품질관리|* 형상모델링 작업|공통국어1|국어|기계 기초 공작|기계 일반|기계 제도|기본수학1|기본영어1|기초 제도|디지털 논리 회로|미술 창작|사무 관리|성공적인 직업 생활|성공적인 직업생활|수학|실용 수학|실용 영어|영어|운동과 건강|음악|자동화 설비|자율·자치활동|자율활동|전기 기기|전기 설비|전기 회로|전기·전자 일반|전기・전자 측정|전자 기계 이론|전자 회로|중국어Ⅰ|진로활동|체육1|통합과학|통합사회1|프로그래밍|한국사
7003713,제주대학교사범대학부설고등학교,75,[보강]생명과학Ⅰ|[보강]진로활동|[보강]현대문학 감상|경제|경제 수학|고전 읽기|고전과 윤리|공통국어1|공통수학1|공통영어1|과학과제 연구|과학사|과학탐구실험1|기하|논술|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미술 전공 실기|미적분|보건|빅데이터 분석|사회 탐구 방법|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계 문제와 미래 사회|세계지리|수학Ⅰ|수학과제 탐구|심화 국어|심화 수학Ⅰ|언어와 매체|영미 문학 읽기|영어 독해와 작문|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|융합과학 탐구|음악|음악 감상과 비평|음악 전공 실기|인공지능 수학|일본어Ⅰ|일본어Ⅱ|자율·자치활동|자율활동|정보|정보과학|정치와 법|중국어Ⅰ|지구과학Ⅰ|지구과학Ⅱ|진로 영어|진로활동|철학|체육1|통합과학1|통합사회1|프로그래밍|한국사1|한국지리|현대문학 감상|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계|환경
7003851,한국교원대학교부설고등학교,48,경제|고전 읽기|공통국어1|공통수학1|공통영어1|과학탐구실험1|기하|꽃동네봉사(자율)|꽃동네봉사(진로)|독일어Ⅰ|독일어Ⅱ|동아리활동|문학|물리학Ⅰ|물리학Ⅱ|미술|사회·문화|사회문제 탐구|생명과학Ⅱ|생활과 윤리|세계사|수학Ⅰ|수학Ⅱ|수학과제 탐구|스포츠 생활|심리학|심화 수학Ⅰ|언어와 매체|영어 독해와 작문|영어Ⅰ|운동과 건강|자율·자치활동|자율활동|정보|지구과학Ⅰ|지구과학Ⅱ|지속 가능 발전과 미래 사회|진로활동|체육1|통합과학1|통합사회1|프랑스어Ⅰ|프랑스어권 문화|한국사1|한국지리|현장체험학습|화법과 작문|화학Ⅱ
7003892,충북대학교사범대학부설고등학교,78,[보강]생명과학Ⅱ|[보강]영어 독해와 작문|경제 수학|고전 읽기|고전과 윤리|공통국어1|공통수학1_공통수학14_A|공통수학1_공통수학14_B|공통수학1_공통수학14_C|공통수학1_공통수학25_A|공통수학1_공통수학25_B|공통수학1_공통수학25_C|공통수학1_공통수학36_A|공통수학1_공통수학36_B|공통수학1_공통수학36_C|공통영어1|공학 일반|과학과제 연구|과학탐구실험1|교육학|기술·가정|기하|논리학|동아리활동|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미적분|빅데이터 분석|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계지리|수학Ⅰ|수학과제 탐구|스포츠 생활|심화 영어 독해Ⅰ|언어와 매체|여행지리|영미 문학 읽기|영어 독해와 작문|영어 회화|영어Ⅰ|운동과 건강|윤리와 사상|음악|음악 감상과 비평|자율활동|정보|정보과학|정치와 법|중국어Ⅰ|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|지식 재산 일반|진로활동|체육1|통합과학1|통합사회1|프랑스어Ⅰ|프랑스어Ⅱ|한국사1|한국지리|한문Ⅰ|한문Ⅱ|현대문학 감상|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계|환경
